"一星等" "五星等" "一星等.y"
"問" "車站" ""
"小時" "桃園" "未"
"月" "抵達" "相"
"自己" "可" "花錢"
"權利" "機組人員" ""
"卡" "航線" ""
"應該" "需求" "新"
"商務" "食物" "等"
"倉" "東京" ""
"朋友" "雪梨" "缺失"
"國家" "降落" "幾位"
"不行" "設備" "目前"
"機場" "需要" "選擇"
"餐點" "地勤人員" "空服員"
"原本" "品質" "機器"
"錢" "味道" "處理"
"狀況" "意外" ""
"前一天" "安全" ""
"選位" "所有" ""
"心情" "來回" "臨時"
"品質" "沒想到" "原本"
"旅行" "空中" "奧克蘭"
"人員" "幫忙" "航空"
"行程" "貴賓室" "收走"
"中間" "搭機" ""
"拿" "穩定" "經過"
"轉機" "特別" "非常"
"愉快" "個人" "可能"
"空間" "沖繩" "這麼"
"飛" "機師" "權力"
"客人" "舒適度" "協助"
"準備" "排隊" "假日"
"年" "快速" ""
"同時" "個" ""
"經驗" "霜淇淋" "自行"
"飛往" "友善" "過"
"大約" "往返" ""
"方便" "牛肉" "空"
"搭" "看" "班機"
"經濟艙" "服員" "好"
"送" "主動" "粵語"
"過" "飛往" ""
"乘坐" "餐食" "母湯"
"客氣" "值得" "的說"
"沒想到" "一定" "品質"
"從頭到尾" "機長" ""
"椅背" "遇到" ""
"有趣" "讚" "人先"
"回應" "剛好" ""
"不好" "整體而言" "值務"
"竟然" "地" "排是"
"找" "足夠" ""
"反應" "目的地" ""
"前方" "空少" "入關"
"不能" "還算" "早就"
"代表" "頗" ""
"預辦" "一班" "這和"
"確認" "早上" ""
"友善" "肯亞" "飛往"
"優先" "超級" "中國"
"電影" "便宜" "經理"
"更改" "得到" "歧視性"
"多" "椅子" "個人"
"旁邊" "點心" "語塞"
"奧克蘭" "旅行" ""
"日本" "東西" "往後"
"起飛" "蒲田" "直接"
"空服" "充電" "王"
"東西" "協助" "日本"
"姊" "國泰" ""
"給" "公司" "三"
"時間" "設計" "服務人員"
"看到" "電視" "開始"
"印象" "適合" "悲劇"
"睡覺" "組員" "再也"
"電話" "水果" ""
"很多" "直飛" "發現"
"溫度" "高雄" ""
"無法" "佳" "無"
"三" "給" ""
"整台" "巴士" ""
"不到" "發現" "糟糕"
"當時" "噪音" "全程"
"桌子" "細心" "第"
"排隊" "到位" "準備"
"永遠" "聽" "本是"
"超級" "=--" "優先"
"過去" "機" ""
"決定" "真" "滿耶"
"想要" "等到" "舊片"
"劃位" "安心" ""
"不耐煩" "峇" ""
"坐過" "配置" ""
"維也納" "考慮" "素質"
"改善" "硬體" "同一"
"加強" "一趟" ""
"爛爛" "誤點" ""
"操作" "不適" ""
"等待" "太多" ""
"機器" "原本" "概念"
"大" "紅眼" "先"
"一片" "感謝" ""
"螢幕" "問題" "座椅"
"放到" "時段" ""
"叫" "搭到" ""
"兩個" "真心" "七步"
"聽" "內" "永遠"
"中" "." "臺北"
"餐桌" "爸媽" ""
"相關" "無聊" ""
"託運" "坐位" "不曾"
"物" "工會" ""
"票" "推" ""
"情形" "經常" ""
"選" "保持" "布"
"基本上" "寶貝" "調回"
"建議" "明顯" "桌上"
"從來" "美中不足" "分坐"
"爸媽" "韓國" "餐桌"
"馬上" "即使" "第二段"
"講" "候機室" ""
"高雄" "享用" "溫度"
"精神" "出遊" ""
"枕" "處理" "手上"
"度" "差" "嘖"
"舒適" "電車" "乘客"
"協助" "客人" "東西"
"希望" "任何" "使用"
"理解" "北海道" ""
"放心" "優質" "提早"
"要加" "同行" ""
"推薦" "漢堡" "造成"
"廉航" "姓氏" "疑慮"
"全程" "當時" "老"
"關係" "體貼" "疑問"
"臨時" "心情" "煎"
"擠" "超過" "閒聊"
"考慮" "真是" "維也納"
"靠窗" "熱情" ""
"未來" "三歲" "穿插"
"自助" "零食" "那個"
"口味" "國內" "型"
"熟悉" "玩" ""
"辦" "小寶貝" ""
"可能" "愉快" "開達"
"著實" "晚餐" ""
"原來" "個別" "發餐"
"囉" "味蕾" ""
"打" "收" ""
"發餐" "原來" ""
"原以" "頭等艙" "開心"
"一定" "遊戲" "沒想到"
"年紀" "心目" ""
"位置" "機時" "發生"
"重要" "雪糕" "這番"
"理由" "視聽" ""
"不少" "很大" "緣故"
"難吃" "質感" ""
"頸" "主打" "公開場合"
"剩" "艙回" ""
"出境" "同機" ""
"得到" "禮貌" "更改"
"當然" "轉" ""
"安排" "改進" "拜拜"
"機上" "新型" "態度"
"不同" "服務周到" ""
"阿姆斯特丹" "首爾" "一群"
"過程" "食用" "事情"
"重點" "不必" "大聲"
"走進" "驚艷" ""
"緣故" "不少" ""
"後方" "繼續" ""
"變成" "內裝" ""
"設計" "三杯" "時間"
"離" "迅速" ""
"的話" "看起來" "看過"
"泰航" "全家" "冤冤相報"
"拿到" "穩" ""
"極度" "新加坡" ""
"處理" "錢" "枕"
"當地" "各式" ""
"無論" "公分" "級"
"先生" "小點心" ""
"開放" "美好" ""
"一種" "吸引" ""
"目前" "不行" ""
"剛好" "華膳" "回應"
"上餐" "廚房" ""
"開心" "原以" "推說"
"坐在" "坐到" ""
"提早" "放心" "無人"
"興奮" "就讓" "以上"
"重新" "下回" "虛滿"
"體驗" "耐心" "不會"
"有事" "太舊" "析嗎"
"以上" "興奮" ""
"遇到" "符合" "椅背"
"很大" "頻率" "不少"
"該" "前面" "爛的"
"老公" "早餐" ""
"線" "敬意" "不熟"
"飛安" "小小的" "問了"
"手續" "勤" ""
"早就" "不能" "部份"
"地勤人員" "年前" "餐點"
"櫃檯" "充分" "到布"
"就讓" "加長" "興奮"
"地方" "可愛" "別家"
"一次" "很少" "一對"
"聽不懂" "鹹" ""
"片" "接受" ""
"型" "口味" ""
"最好" "這麼" ""
"起來" "段" "不想"
"很少" "最佳" "一次"
"新" "應該" "妳"
"別家" "地方" ""
"搞" "座艙" ""
"搭過" "我會" "跑"
"乖乖" "航行" "找麻煩"
"天荒地老" "程" ""
"外國人" "盥洗" "變"
"櫃台" "觸控" "老闆"
"水" "抗噪" "橫躺"
"亦" "長輩" "種族歧視"
"晚上" "會員" ""
"輸送帶" "深深" ""
"國外" "應" ""
"期待" "須先" "甚至"
"員" "總體" "嘛"
"親切" "室" "可以"
"長途" "一台" "上班"
"飛行" "敏感" "空姐"
"購買" "年來" "現實"
"不佳" "蕃薯" ""
"謝謝" "滋味" "達"
"位" "改早" ""
"用餐" "為例" "放置"
"頭等艙" "一行" "原以"
"看" "寄艙" "搭"
"明明" "的是" ""
"呢" "連稅" "此舉"
"數量" "大為" ""
"公司" "對手" "給"
"區的" "有善" ""
"性" "順利" ""
"喜歡" "票期" "回答"
"去程" "越來越" "放"
"兩次" "家長" ""
"一行" "妳" "頭等艙"
"影響" "躺平" ""
"看出" "千歲" ""
"小" "操作系統" "水杯"
"滷蛋" "變得" ""
"空位" "一上" ""
"回來" "客滿" "初因"
"超過" "那樣" "擠"
"需要" "午餐" "機場"
"來回" "沒人" "心情"
"回程" "強迫症" "調整"
"更是" "可買個" "推動"
"不錯" NA "公斤"
"好吃" NA "搭乘"
"艙" NA "座位"
"餐" NA "規定"
"吃" NA "個"
"貼心" NA "登機"
"旅程" NA "空服人員"
"寬敞" NA "詢問"
"整體" NA "值班"
"娛樂" NA "下"
"豪華" NA "客服"
"報到" NA "居然"
"很棒" NA "美的"
"飲料" NA "任何"
"水準" NA "上機"
"滿意" NA "機票"
"十分" NA "願意"
"延誤" NA "舒服"
"感受" NA "香港"
"豪經艙" NA "位子"
"專業" NA "出來"
"出發" NA "護照"
"機艙" NA "洗"
"曼谷" NA "航班"
"長榮" NA "日"
"準時" NA "里斯本"
"美味" NA "話"
"麵" NA "毛毯"
"乾淨" NA "躺"
"笑容" NA "降落"
"車站" NA "問"
"平穩" NA "哪位"
"桃園" NA "小時"
"抵達" NA "月"
"可" NA "自己"
"機組人員" NA "權利"
"航線" NA "卡"
"需求" NA "應該"
"食物" NA "商務"
"東京" NA "倉"
"雪梨" NA "朋友"
"設備" NA "不行"
"系統" NA "聽障"
"機型" NA "上映"
"機會" NA "賣弄"
"前往" NA "一臉"
"良好" NA "國際"
"味道" NA "錢"
"航程" NA "改變"
"意外" NA "狀況"
"罷工" NA "過了"
"安全" NA "前一天"
"所有" NA "選位"
"可惜" NA "好像"
"棒" NA "這位"
"影片" NA "別人"
"空中" NA "旅行"
"貴賓室" NA "行程"
"搭機" NA "中間"
"穩定" NA "拿"
"特別" NA "轉機"
"此次" NA "服務態度"
"沖繩" NA "空間"
"機師" NA "飛"
"旅遊" NA "很差"
"普通" NA "天"
"升" NA "改"
"舒適度" NA "客人"
"快速" NA "年"
"一貫" NA "線上"
"霜淇淋" NA "經驗"
"服務員" NA "教育"
"小孩" NA "最大"
"往返" NA "大約"
"出國" NA "壞"
"牛肉" NA "方便"
"耳機" NA "既"
"廁所" NA "聽聞"
"享受" NA "初"
"短程" NA "嗯"
"服員" NA "經濟艙"
"主動" NA "送"
"餐食" NA "乘坐"
"值得" NA "客氣"
"機長" NA "從頭到尾"
"整趟" NA "無言"
"內容" NA "第二"
"讚" NA "有趣"
"雞肉" NA "當"
"高" NA "分鐘"
"整體而言" NA "不好"
"因此" NA "這時候"
"地" NA "竟然"
"足夠" NA "找"
"目的地" NA "反應"
"空少" NA "前方"
"還算" NA "不能"
"頗" NA "代表"
"泰國" NA "低"
"一班" NA "預辦"
"早上" NA "確認"
"肯亞" NA "友善"
"倫敦" NA "教導"
"便宜" NA "電影"
"餐飲" NA "里程"
"帶著" NA "寫"
"點心" NA "旁邊"
"老舊" NA "當下"
"出差" NA "到底"
"蒲田" NA "起飛"
"充電" NA "空服"
"國泰" NA "姊"
"電視" NA "看到"
"適合" NA "印象"
"組員" NA "睡覺"
"不用" NA "或者"
"最新" NA "通知"
"水果" NA "電話"
"資深" NA "話語"
"直飛" NA "很多"
"休息" NA "共用"
"吉隆玻" NA "家人"
"有禮" NA "中文"
"佳" NA "無法"
"關心" NA "下麵"
"優惠" NA "沒搭過"
"自" NA "還站"
"海鮮" NA "說不說"
"照顧" NA "含"
"巴士" NA "整台"
"成田" NA "道歉"
"氣流" NA "粗魯"
"技術" NA "不耐"
"羽田" NA "發出"
"滿足" NA "丟到"
"多樣" NA "衛生紙"
"噪音" NA "當時"
"設施" NA "收起"
"細心" NA "桌子"
"情況" NA "老牌"
"到位" NA "排隊"
"完美" NA "問的"
"=--" NA "超級"
"機" NA "過去"
"寄" NA "不見"
"真" NA "決定"
"等到" NA "想要"
"安心" NA "劃位"
"注意" NA "道理"
"費用" NA "何況"
"峇" NA "不耐煩"
"配置" NA "坐過"
"途中" NA "通融"
"突如其來" NA "不讓"
"給予" NA "他過"
"進步" NA "對待"
"排" NA "前心裡"
"硬體" NA "改善"
"本次" NA "航站"
"幸運" NA "說出"
"一趟" NA "加強"
"價格" NA "發脾氣"
"誤點" NA "爛爛"
"附近" NA "片子"
"不適" NA "操作"
"長程" NA "別說"
"太多" NA "等待"
"一般" NA "即可"
"紅眼" NA "大"
"米飯" NA "放行"
"半夜" NA "經營"
"登" NA "輕描淡寫"
"感謝" NA "一片"
"服" NA "主管"
"時段" NA "放到"
"搭到" NA "叫"
"真心" NA "兩個"
"時候" NA "官僚"
"內" NA "聽"
"要求" NA "一家"
"." NA "中"
"行時" NA "請人"
"無聊" NA "相關"
"包含" NA "乾脆"
"坐位" NA "託運"
"晚" NA "=---"
"表現" NA "受教"
"工會" NA "物"
"臉上" NA "並對"
"軟硬" NA "傲慢"
"高空" NA "訂位"
"推" NA "票"
"播放" NA "事後"
"廉價" NA "倒楣"
"水準" NA "號的"
"經常" NA "情形"
"致上" NA "問櫃台"
"平躺" NA "互動"
"影音" NA "誤解"
"保持" NA "選"
"喝" NA "是否是"
"寶貝" NA "基本上"
"採用" NA "餐畢"
"可口" NA "所謂"
"卡住" NA "回去"
"感" NA "積極主動"
"明顯" NA "建議"
"插座" NA "八人分"
"愉悅" NA "覺的"
"環境" NA "剩下"
"少" NA "做線"
"美中不足" NA "從來"
"韓國" NA "爸媽"
"即使" NA "馬上"
"一起" NA "怎樣"
"熱食" NA "一間"
"過夜" NA "候補"
"容易" NA "清算"
"洗手間" NA "可能性"
"候機室" NA "講"
"擺盤" NA "臉"
"甜點" NA "儉討"
"松山" NA "懷抱"
"桃機" NA "便利"
"旅行社" NA "定期"
"登機口" NA "歧視"
"美食" NA "世紀"
"維持" NA "職班"
"享用" NA "高雄"
"到達" NA "無帶"
"出遊" NA "精神"
"提升" NA "員工素質"
"隔壁" NA "針對"
"才能" NA "度蜜月"
"電車" NA "舒適"
"無微不至" NA "容忍"
"北海道" NA "理解"
"素食" NA "是從"
"很快" NA "裡就"
"票價" NA "直到"
"優質" NA "放心"
"同行" NA "要加"
"往" NA "己"
"漢堡" NA "推薦"
"姓氏" NA "廉航"
"體貼" NA "關係"
"精緻" NA "扯"
"好好" NA "加價"
"飯" NA "灑"
"生命" NA "奇怪"
"趟" NA "空難"
"表情" NA "髒"
"回到" NA "問達美"
"華" NA "義務"
"廣播" NA "看不起"
"真是" NA "考慮"
"熱情" NA "靠窗"
"三歲" NA "未來"
"期間" NA "一周"
"空廚" NA "多國"
"缺點" NA "方案"
"之上" NA "不願理"
"過於" NA "清洗"
"送餐" NA "很髒"
"機箱" NA "爛"
"哈根達斯" NA "再說"
"零食" NA "自助"
"國內" NA "口味"
"長途旅行" NA "禦寒衣"
"玩" NA "熟悉"
"首選" NA "認"
"國籍" NA "日期"
"小寶貝" NA "辦"
"頭暈" NA "沒說"
"身體" NA "阻止"
"順暢" NA "資料"
"晚餐" NA "著實"
"擦痕" NA "第一段"
"個別" NA "原來"
"整潔" NA "一同"
"味蕾" NA "囉"
"孔" NA "本地"
"哈哈哈" NA "轉頭就走"
"商品" NA "母子"
"收" NA "打"
"今次" NA "進出"
"遊戲" NA "一定"
"機程" NA "欠"
"盡力" NA "料"
"心目" NA "年紀"
"忐忑" NA "沒遇過"
"溫暖" NA "意思"
"難得" NA "孩童"
"適中" NA "頭上"
"主餐" NA "想換票"
"掛著" NA "信用"
"登上" NA "一大堆"
"機時" NA "位置"
"很長" NA "太吵"
"雪糕" NA "重要"
"安撫" NA "對方"
"選到" NA "別"
"視聽" NA "理由"
"不賴" NA "插進"
"質感" NA "難吃"
"主打" NA "頸"
"還會" NA "好幾位"
"完成" NA "越南"
"乾" NA "餐發餐"
"艙回" NA "剩"
"奈洛比" NA "喝水"
"係" NA "澳門"
"打發" NA "徹底"
"機身" NA "錯誤"
"優於" NA "發毛"
"寶寶" NA "事"
"台" NA "一律"
"次" NA "澳"
"四段" NA "之類"
"同機" NA "出境"
"禮貌" NA "得到"
"尚可" NA "反醒"
"品牌" NA "應有"
"轉" NA "當然"
"太小" NA "號"
"改進" NA "安排"
"新型" NA "機上"
"服務周到" NA "不同"
"清晰" NA "查詢"
"令" NA "強迫"
"還能" NA "放餐"
"太太" NA "辦公室"
"有效率" NA "還帶"
"首爾" NA "阿姆斯特丹"
"座" NA "一根"
"本人" NA "茶水"
"漂亮" NA "先行"
"語言" NA "干涉"
"免費" NA "堅持"
"食用" NA "過程"
"澳洲" NA "那邊"
"不必" NA "重點"
"驚艷" NA "走進"
"阻絕" NA "換我"
"阿" NA "面前"
"壓力" NA "遞"
"增加" NA "自認"
"略嫌" NA "同個"
"飲食" NA "先知"
"失望" NA "人民"
"繼續" NA "後方"
"住" NA "確定"
"很久沒" NA "要命"
"一路" NA "原位"
"蓋" NA "少爺"
"這條" NA "一半"
"內裝" NA "變成"
"形象" NA "丟的"
"三杯" NA "設計"
"迅速" NA "離"
"比起" NA "溝通"
"看起來" NA "的話"
"凈" NA "胡志明市"
"載" NA "邏輯"
"影視" NA "有誤"
"飲品" NA "呂"
"全" NA "必恭必敬"
"距離" NA "假期"
"現煮" NA "既然"
"例如" NA "臭"
"全家" NA "泰航"
"穩" NA "拿到"
"很近" NA "百位"
"新加坡" NA "極度"
"羽田機場" NA "講話"
"酒店" NA "北京"
"作業" NA "還不"
"清潔" NA "強"
"各式" NA "當地"
"兩種" NA "道"
"上海" NA "拒絕"
"公分" NA "無論"
"來自" NA "親自"
"清楚" NA "連第"
"小點心" NA "先生"
"免稅" NA "回我"
"美好" NA "開放"
"吸引" NA "一種"
"華膳" NA "剛好"
"廚房" NA "上餐"
"坐到" NA "坐在"
"舊" NA "也許"
"微波" NA "縮排"
"細緻" NA "箱"
"時時刻刻" NA "打到"
"裡島" NA "看電視"
"參加" NA "臉色"
"立即" NA "隨便"
"突然" NA "全壓"
"下回" NA "重新"
"耐心" NA "體驗"
"大力" NA "直至"
"首先" NA "回覆"
"就過" NA "夠少"
"導致" NA "夠臭"
"綠色" NA "毯"
"艙到" NA "辦理"
"中斷" NA "快"
"吧檯" NA "霸王"
"新穎" NA "還跟"
"錯過" NA "名字"
"毛巾" NA "拿過"
"家" NA "回國"
"太舊" NA "有事"
"變大" NA "指"
"效率" NA "身為"
"伸展" NA "客戶"
"裡" NA "差不多"
"餐有" NA "少數幾位"
"兩" NA "年輕"
"面帶笑容" NA "一副"
"符合" NA "遇到"
"頻率" NA "很大"
"相較" NA "離譜"
"每位" NA "港式"
"飛航" NA "支援"
"完整" NA "餐送"
"音樂" NA "補充"
"睡" NA "沒想"
"有些" NA "出門"
"女性" NA "佩"
"隨時" NA "翻白眼"
"趕" NA "連句"
"度假" NA "兩歲"
"早餐" NA "老公"
"當機" NA "貧貴"
"使得" NA "離職"
"敬意" NA "線"
"小小的" NA "飛安"
"安靜" NA "言詞"
"勤" NA "手續"
"高度" NA "一百多"
"思考" NA "有多差"
"年前" NA "地勤人員"
"按" NA "非必要"
"支持" NA "坐船到"
"證" NA "海天"
"其次" NA "客運碼頭"
"多樣化" NA "四月"
"酒類" NA "下船"
"充分" NA "櫃檯"
"不論是" NA "趕緊"
"不說" NA "辦法"
"必" NA "自從"
"加長" NA "就讓"
"可愛" NA "地方"
"全新" NA "何處"
"一塊" NA "又問"
"幫" NA "調正"
"鹹" NA "聽不懂"
"接受" NA "片"
"班次" NA "離開"
"短短的" NA "辦好"
"果真" NA "空調"
"椅距" NA "爛透"
"塔臺" NA "不用說"
"第一" NA "諸如此類"
"出現" NA "倒閉"
"入境" NA "執行"
"段" NA "起來"
"最佳" NA "很少"
"運行" NA "頓時"
"男性" NA "投訴"
"座艙" NA "搞"
"問候" NA "大排長龍"
"我會" NA "搭過"
"等候" NA "同根"
"航行" NA "乖乖"
"空服員會" NA "還慢"
"程" NA "天荒地老"
"機組" NA "誰"
"熱誠" NA "運用"
"行李箱" NA "老婆"
"零嘴" NA "懷孕"
"登記證" NA "大肚子"
"歐洲" NA "問問"
"下來" NA "孕婦"
"只要" NA "商旅"
"雞" NA "櫃寄"
"不帶" NA "糟透"
"執飛" NA "有夠"
"以往" NA "打電話"
"盥洗" NA "外國人"
"這間" NA "特定"
"觸控" NA "櫃台"
"腳" NA "大部分"
"抗噪" NA "水"
"還送" NA "換位"
"很累" NA "申訴"
"唯獨" NA "厭世"
"長輩" NA "亦"
"上方" NA "太多了"
"買" NA "繳錢"
"會員" NA "晚上"
"重量" NA "轉搭"
"炒飯" NA "不負責任"
"反而" NA "不可思議"
"深深" NA "輸送帶"
"外籍" NA "上午"
"分開" NA "時半"
"省親" NA "一封"
"平安" NA "收到"
"無憂" NA "運送"
"應" NA "國外"
"賞櫻" NA "乾掉"
"跟團" NA "實說"
"須先" NA "期待"
"總體" NA "員"
"看久" NA "吳遙"
"模糊" NA "臉超"
"視頻" NA "想像中"
"室" NA "親切"
"結果" NA "某"
"觸控式" NA "結束"
"一台" NA "長途"
"敏感" NA "飛行"
"簡訊" NA "接到"
"年來" NA "購買"
"蕃薯" NA "不佳"
"有名" NA "幾個"
"一個月" NA "幫助"
"訂" NA "法國人"
"年初一" NA "進來"
"因為過" NA "但輪"
"一眨眼" NA "珊"
"觀賞" NA "冷到"
"配餐" NA "人要"
"配料" NA "尊重"
"滋味" NA "謝謝"
"白米" NA "何太急"
"多謝" NA "坐同"
"各空服" NA "這家"
"改早" NA "位"
"借" NA "本國"
"為例" NA "用餐"
"空員" NA "難道"
"她們" NA "字眼"
"各" NA "留下"
"裝修" NA "付錢"
"寄艙" NA "看"
"的是" NA "明明"
"橫跨" NA "自然"
"連稅" NA "呢"
"港幣" NA "今年"
"大為" NA "數量"
"打招呼" NA "二月"
"輕放" NA "一位"
"打攪" NA "女士"
"哦" NA "一排"
"對手" NA "公司"
"大幅度" NA "將他"
"近幾年來" NA "此事"
"有善" NA "區的"
"延後" NA "開發"
"順利" NA "性"
"票期" NA "喜歡"
"原因" NA "三個"
"透過" NA "有關"
"春季" NA "一堆"
"大阪" NA "越南人"
"去年" NA "言論"
"越來越" NA "去程"
"哭鬧" NA "合適"
"家長" NA "兩次"
"禮物" NA "生"
"躺平" NA "影響"
"合胃口" NA "電腦"
"千歲" NA "看出"
"勝利" NA "英文"
"原敞" NA "不滿"
"不足" NA "語文"
"位偏" NA "待"
"驚喜" NA "今天"
"操作系統" NA "小"
"變得" NA "滷蛋"
"一上" NA "空位"
"選取" NA "換"
"客滿" NA "回來"
"按摩椅" NA "人會"
"預期" NA "稍晚"
"價格比" NA "二人"
"私人" NA "四排"
"人性化" NA "落單"
"折扣" NA "情侶"
"杜" NA "倆"
"那樣" NA "超過"
"不太好" NA "識"
"舉動" NA "包裹"
"午餐" NA "需要"
"我醒" NA "邊"
"晚睡" NA "分公司"
"前天" NA "聯絡"
"款待" NA "連續"
"香片" NA "道歉信"
"提醒" NA "將"
"流時" NA "官網"
"沒人" NA "來回"
"會帶" NA "各選"
"怕" NA "餐包"
"雙語" NA "沒問"
"強迫症" NA "回程"
"給它" NA "誇張"
"可買個" NA "更是"
"在意" NA "不悅"
"哪個" NA "票去"
"那種" NA "糟透了"
"擦傷" NA "餐盒"
"托運" NA "時因"
"閱讀" NA ""
"撥放" NA ""
"共同" NA ""
"何" NA ""
"不知" NA ""
"雖有" NA ""
"唯" NA ""
"索取" NA ""
"還餓" NA ""
"一杯" NA ""
"奉上" NA ""
"飯後" NA ""
"加上" NA ""
"漫長" NA ""
"直覺" NA ""
"置" NA ""
"規劃" NA ""
"滿位" NA ""
"升降" NA ""
"贈送" NA ""
"不長" NA ""
"此" NA ""
"上層" NA ""
"觀看" NA ""
"睡眠" NA ""
"立刻" NA ""
"過重" NA ""
"的還" NA ""
"還好" NA ""
"了啊" NA ""
"好嗎" NA ""
"這排" NA ""
"發到" NA ""
"派" NA ""
"齊" NA ""
"超快" NA ""
"整整" NA ""
"而碎念" NA ""
"包類" NA ""
"節節" NA ""
"會派" NA ""
"絕對" NA ""
"完畢" NA ""
"日用品" NA ""
"禁運" NA ""
"要說" NA ""
"平宜" NA ""
"換取" NA ""
"如想用" NA ""
"往往" NA ""
"暑假" NA ""
"不僅" NA ""
"翻掉" NA ""
"直" NA ""
"愛" NA ""
"趴" NA ""
"早" NA ""
"肉" NA ""
"排骨飯" NA ""
"直面" NA ""
"沒人來" NA ""
"坐慣" NA ""
"闊" NA ""
"頭皮" NA ""
"硬著" NA ""
"起" NA ""
"控" NA ""
"始終保持" NA ""
"菜單" NA ""
"前來" NA ""
"就座" NA ""
"返台" NA ""
"想起" NA ""
"一航廈" NA ""
"從二航" NA ""
"非" NA ""
"惰況" NA ""
"密集" NA ""
"預定" NA ""
"說明" NA ""
"事項" NA ""
"覺" NA ""
"可圈可點" NA ""
"洗手" NA ""
"落" NA ""
"的人" NA ""
"伸直" NA ""
"拉車" NA ""
"杜拜" NA ""
"大小" NA ""
"寬" NA ""
"年長" NA ""
"上次" NA ""
"實況" NA ""
"看看" NA ""
"評價" NA ""
"二十幾分鐘" NA ""
"其中" NA ""
"一條" NA ""
"同" NA ""
"沒太大" NA ""
"肉燥" NA ""
"維持下去" NA ""
"有次" NA ""
"全部" NA ""
"夢境" NA ""
"歲" NA ""
"即時" NA ""
"還當機" NA ""
"一面" NA ""
"高鐵" NA ""
"上升" NA ""
"後進" NA ""
"販售" NA ""
"之外" NA ""
"各地" NA ""
"讓你在" NA ""
"飛台灣" NA ""
"南部" NA ""
"同型" NA ""
"首次" NA ""
"外" NA ""
"再有" NA ""
"葷食" NA ""
"親民" NA ""
"上空" NA ""
"欣賞" NA ""
"有太多" NA ""
"節目" NA ""
"搭長" NA ""
"即便" NA ""
"盡" NA ""
"冰島" NA ""
"言語" NA ""
"初體驗" NA ""
"精準" NA ""
"當初" NA ""
"三名" NA ""
"病" NA ""
"加" NA ""
"安全措施" NA ""
"十幾次" NA ""
"搭華" NA ""
"和藹可親" NA ""
"機員" NA ""
"不吵" NA ""
"客機" NA ""
"眼睛" NA ""
"驕傲" NA ""
"到頭" NA ""
"累" NA ""
"做法" NA ""
"周到" NA ""
"不計" NA ""
"魚骨" NA ""
"眼罩" NA ""
"耳塞" NA ""
"而是" NA ""
"正式" NA ""
"北臉" NA ""
"捷" NA ""
"自營" NA ""
"廚也能" NA ""
"狹窄" NA ""
"合理" NA ""
"贊贊贊" NA ""
"體認" NA ""
"四周" NA ""
"剛滿" NA ""
"一番" NA ""
"長還" NA ""
"處入" NA ""
"水酒" NA ""
"全機" NA ""
"可用" NA ""
"飛到" NA ""
"辛勞" NA ""
"全體" NA ""
"地問" NA ""
"嫩" NA ""
"充滿" NA ""
"其間" NA ""
"逛" NA ""
"小且" NA ""
"昇" NA ""
"逐漸" NA ""
"國航" NA ""
"地區" NA ""
"赴" NA ""
"壓迫感" NA ""
"相信" NA ""
"過的" NA ""
"惟" NA ""
"休閒" NA ""
"再度" NA ""
"本土" NA ""
"坐上" NA ""
"新年" NA ""
"落地" NA ""
"門面" NA ""
"檢查" NA ""
"伸腿" NA ""
"毯子" NA ""
"大多數" NA ""
